Contenu_,Date_,Utilisateur_,Source_,ID_,Tweet URL
@TwoSetViolin Emmm...come back when you feel 100% please 🙂,2020-12-16 07:51:18,Ivylee89151990,Twitter for iPhone,1339115874448330752,https://twitter.com/statuses/1339115874448330752
@trebus_mr We were thinking that’s the slowest ambush ever then WHAM😆,2020-12-16 07:51:18,Janette90306108,Twitter for iPad,1339115874440142850,https://twitter.com/statuses/1339115874440142850
@ThomasNoppers So no dungeon master ? It's ok if the roll is simultaneous and the enemy's dices have a différent color.,2020-12-16 07:51:18,FJeandinot,Twitter Web App,1339115874394005504,https://twitter.com/statuses/1339115874394005504
@RihanRomain girl get up we going robbing,2020-12-16 07:51:18,Anania00,Twitter Web App,1339115874393993218,https://twitter.com/statuses/1339115874393993218
@Eukjkkk BOA NOTE AMF,2020-12-16 07:51:18,denkidie,Twitter for Android,1339115874373038080,https://twitter.com/statuses/1339115874373038080
"Yesterday and days before
Sun is cold and rain is hard
I know...",2020-12-16 07:51:18,saritrator,Twitter for Android,1339115874364567552,https://twitter.com/statuses/1339115874364567552
@themadog2 My thoughts exactly,2020-12-16 07:51:18,Ishimwenoella1,Twitter for Android,1339115874356252673,https://twitter.com/statuses/1339115874356252673
i want stickers but . can i afford to spend $14 https://t.co/DTFPoKjAlL,2020-12-16 07:51:18,SICHENGWIN,Twitter for iPhone,1339115874339364865,https://twitter.com/statuses/1339115874339364865
so do we think new dream is done tweeting for the night cause i have finals tomorrow and i would like to sleep,2020-12-16 07:51:18,sl33pybois,Twitter for iPhone,1339115874339356673,https://twitter.com/statuses/1339115874339356673
@dreajmiranda THANK U DREA 💛!!,2020-12-16 07:51:18,amoxiliion,Twitter for Android,1339115874326896641,https://twitter.com/statuses/1339115874326896641
@05WATANABABIES good morning,2020-12-16 07:51:18,hooneycaramel,Twitter for Android,1339115874318348290,https://twitter.com/statuses/1339115874318348290
3 people followed me and 3 people unfollowed me // automatically checked by https://t.co/GTNgiLb1zq,2020-12-16 07:51:18,aancyallrs,fllwrs,1339115874280763393,https://twitter.com/statuses/1339115874280763393
"Khaula’s would become one of the 144 names—most of them children’s—on a long list created by a group of murderers that day at the school.
#اےپی_ایس_کےشہدا_کوسلام
@Rs_ni0",2020-12-16 07:51:18,beenishji,Twitter Web App,1339115874280681472,https://twitter.com/statuses/1339115874280681472
@RangerDewew2 well i'll do it if you're so desperate. gloop gloop shit or whatever,2020-12-16 07:51:18,grazergroves,Twitter Web App,1339115874276368390,https://twitter.com/statuses/1339115874276368390
You can’t even Checkj *346# with glo,2020-12-16 07:51:18,hajia_rukia,Twitter for iPhone,1339115874255577090,https://twitter.com/statuses/1339115874255577090
"or, maybe, a different badger",2020-12-16 07:51:18,Memebot9k,"Cheap Bots, Done Quick!",1339115874242932736,https://twitter.com/statuses/1339115874242932736
What happened,2020-12-16 07:51:18,ga7balol,Twitter for iPhone,1339115874234617856,https://twitter.com/statuses/1339115874234617856
"✨ Secret Crush

plcmnsweartogod secretly loves you! 😳
Who loves you in secret?

➡️ https://t.co/l4LsBU8Rph https://t.co/DNTVmi4Fmn",2020-12-16 07:51:18,YLawlie,Affinitweet.com,1339115874234589184,https://twitter.com/statuses/1339115874234589184
@Murky__Meg For everything there is a market.,2020-12-16 07:51:18,Madison48260187,Twitter for iPhone,1339115874234535936,https://twitter.com/statuses/1339115874234535936
@DangItsTiffany dude i love youuuu 🥺,2020-12-16 07:51:18,yungpinkz,Twitter for iPhone,1339115874230411264,https://twitter.com/statuses/1339115874230411264
@soumyajitkarmak This definitely isn’t the kind of experience we want to put you through. Please DM your registered mobile number along with the details of the issue you’re facing. I’ll do everything possible to help you out.  https://t.co/5m1Urzybmc,2020-12-16 07:51:18,Paytmcare,OneDirect Suite - P,1339115874217648128,https://twitter.com/statuses/1339115874217648128
dozens of people followed me and 4 people unfollowed me // automatically checked by https://t.co/mqm5C8VvMA,2020-12-16 07:51:18,vihobiiv,fllwrs,1339115874213638144,https://twitter.com/statuses/1339115874213638144
@TheLargestQueen dear god your tall,2020-12-16 07:51:18,VillagerAwkward,Twitter for Android,1339115874209460224,https://twitter.com/statuses/1339115874209460224
"@MrOdanz Please donate to Sinzu Foundation, nothing is too small.🤲🏽

Godbless Nigeria🇳🇬",2020-12-16 07:51:18,PluckyPrecious,Twitter for iPhone,1339115874209452032,https://twitter.com/statuses/1339115874209452032
@faerie_gutz gmouabitc I’ll add and join you,2020-12-16 07:51:18,timeskipkenma,Twitter for iPhone,1339115874209370113,https://twitter.com/statuses/1339115874209370113
"This is totally injustice for those students who have beautiful dream in their eyes of becoming a doctor and surved this Nation. But due to carelessness of this corrupt system, those dreams remain dreams.
We want justice...
#MDCAT2020 https://t.co/ReP9L0Sfy9",2020-12-16 07:51:18,AishamHayat,Twitter for Android,1339115874201051137,https://twitter.com/statuses/1339115874201051137
@grandmagrit They are soooo jealous 🤣,2020-12-16 07:51:18,Marymb03689036,Twitter for iPad,1339115874196721664,https://twitter.com/statuses/1339115874196721664
REASON WHY I HAVE TRUST ISSUES  https://t.co/mND5vLDehz,2020-12-16 07:51:18,ENTHRALLINGJIN,Twitter for iPhone,1339115874188361728,https://twitter.com/statuses/1339115874188361728
four https://t.co/5AtUrixR4B,2020-12-16 07:51:18,90SBORDERS,Twitter for iPhone,1339115874179903489,https://twitter.com/statuses/1339115874179903489
This is my overview of the Twitter accounts I interacted with the most in the last 30 days. Via https://t.co/cPA6FoUFX5 https://t.co/hpA0EI9KTa,2020-12-16 07:51:18,victtxrrr,ToS compliant Twopcharts,1339115874138132480,https://twitter.com/statuses/1339115874138132480
@Pepe_elpez We're all here for you 😲👍 KINGS DON'T GET SCARED,2020-12-16 07:51:18,144xm1,Twitter for Android,1339115874133819395,https://twitter.com/statuses/1339115874133819395
"Holiday Affair
The Snowman
Muppets Christmas Carol https://t.co/8WwA4wudMU",2020-12-16 07:51:18,thomasjbevan1,Twitter Web App,1339115874125557760,https://twitter.com/statuses/1339115874125557760
Please to contact 9752448712 RPF Gwalior https://t.co/MzsfYKPZix,2020-12-16 07:51:18,rpfpostgwl,Twitter for Android,1339115874125418498,https://twitter.com/statuses/1339115874125418498
@MessedUpPod Anything for my ladies,2020-12-16 07:51:18,beeannyyy,Twitter for Android,1339115874117103621,https://twitter.com/statuses/1339115874117103621
19 people followed me and 4 people unfollowed me // automatically checked by https://t.co/KGJekDTQFO,2020-12-16 07:51:18,gzzy0ff,fllwrs,1339115874112974849,https://twitter.com/statuses/1339115874112974849
@petsandpinups I knoooow 😍,2020-12-16 07:51:18,KatVanMul,Twitter Web App,1339115874104569857,https://twitter.com/statuses/1339115874104569857
@silasbvrke GOODNIGHT,2020-12-16 07:51:18,fqrahwren,Twitter for iPhone,1339115874100211713,https://twitter.com/statuses/1339115874100211713
"@channelstv They should all die. That's the news I want to hear, this one is not enough.. Bunch of wicked souls in Nigeria 🇳🇬 government. Nemesis must catch them one by one.",2020-12-16 07:51:18,Anchorage1982,Twitter for Android,1339115874083594240,https://twitter.com/statuses/1339115874083594240
@spicyspook You have opened my third eye,2020-12-16 07:51:18,opossum_time,Twitter for Android,1339115874079293441,https://twitter.com/statuses/1339115874079293441
Lowkey Gfriend proof it to them 😂 and dont even realize 😭😂😂 https://t.co/dgbODLr7BM,2020-12-16 07:51:18,AnisTyaf13,Twitter for Android,1339115874066657280,https://twitter.com/statuses/1339115874066657280
SHE’S LITERALLY THE MOST BEAUTIFUL HUMAN I WANNA CRY I LOVE HER SM,2020-12-16 07:51:18,Marwaaaann,Twitter for Android,1339115874058461185,https://twitter.com/statuses/1339115874058461185
O.M.G. ! Attacked by my winter coat. Help. Help. https://t.co/Xdl0Q7jCtd,2020-12-16 07:51:18,DonnaleeMystuff,Twitter Web App,1339115874020552710,https://twitter.com/statuses/1339115874020552710
@HANBIN_twt_ HI THERE BB 🥺🥺🥺,2020-12-16 07:51:18,eggtartwonuu_,Twitter for Android,1339115874003820544,https://twitter.com/statuses/1339115874003820544
"Just a little of your heart is all I want 🎶🎶

Don't know how Harry wrote this sad lyrics :( 
I cry everytime I listen to Ariana""s vocals cut through these lines 😭 https://t.co/AUut6jPdIJ",2020-12-16 07:51:18,Spicedsparkle,Twitter for Android,1339115873999712256,https://twitter.com/statuses/1339115873999712256
"@Route2FI There are 4 types of wealth:

1. Financial wealth (money)
2. Social wealth (status)
3. Time wealth (freedom)
4. Physical wealth (health)

Be wary of jobs that lure you in with 1 and 2, 
but rob you of 3 and 4.

-- James Clear",2020-12-16 07:51:18,RamalingamCFP,Twitter Web App,1339115873995345920,https://twitter.com/statuses/1339115873995345920
@TaylorThinn I am surprised yesterday I saw bas igs he can really drive till now we had pics only or small video of parking bike,2020-12-16 07:51:18,marierose362,Twitter for Android,1339115873961840640,https://twitter.com/statuses/1339115873961840640
"everytime a girl wrote "" i created you in pairs' in her caption i read it as "" I created you in paris"" and I always wondered why every girl creating her man in paris maybe I need to go there to create mine that's why I wanted to go to paris so  badly at 18 then one day i reread..",2020-12-16 07:51:18,ItzAyeshA_,Twitter Web App,1339115873957625856,https://twitter.com/statuses/1339115873957625856
It’s a NO from me https://t.co/jmUpOBqEZE,2020-12-16 07:51:18,Morquine,Twitter for iPhone,1339115873953431553,https://twitter.com/statuses/1339115873953431553
Ante better score tonight!!!!!!,2020-12-16 07:51:18,Ope_Milanisti,Twitter for iPhone,1339115873949376513,https://twitter.com/statuses/1339115873949376513
@starwarstuff Way way Down there with AOTC AND ROTS.,2020-12-16 07:51:18,dennisAsmith,Twitter for iPhone,1339115873911574529,https://twitter.com/statuses/1339115873911574529
Why am I still here?,2020-12-16 07:51:18,Ashley12599254,Twitter for iPhone,1339115873886380032,https://twitter.com/statuses/1339115873886380032
"Education sector lender Indian School Finance Company - (ISFC) will flag off its recruitment drive with over 100 across-the-board hires. The company has also initiated “Ghar Wapsi'' campaign to bring back ex-ISFC employees, said a statement.
https://t.co/m3fvNPYyxm",2020-12-16 07:51:18,ETHrWorld,Twitter Web App,1339115873806610432,https://twitter.com/statuses/1339115873806610432
@TheRickyshah_ Dudes with socks ziko na pattern 🔥,2020-12-16 07:51:18,MarybyDesign,Twitter for Android,1339115873802530817,https://twitter.com/statuses/1339115873802530817
@MynameisFace Facts,2020-12-16 07:51:18,harmavelli,Twitter for iPhone,1339115873789939712,https://twitter.com/statuses/1339115873789939712
mason is funny as fuck😭😭😭😭😭,2020-12-16 07:51:18,noluvzere,Twitter for iPhone,1339115873789902849,https://twitter.com/statuses/1339115873789902849
With N20 only. OK o https://t.co/IO67lpn3aj,2020-12-16 07:51:18,louis_ugwuezi,Twitter for Android,1339115873760653312,https://twitter.com/statuses/1339115873760653312
what is Wrong with bunny pages on instagram ?! they Constantly post videos of animal abuse and other horrible situations with bunnies,2020-12-16 07:51:18,cmina__a,Twitter for iPhone,1339115873752281088,https://twitter.com/statuses/1339115873752281088
Im actually super sad now... Was having a good night too https://t.co/xVhZEIzZzl,2020-12-16 07:51:18,Hellish_Scourge,Twitter for Android,1339115873752256512,https://twitter.com/statuses/1339115873752256512
this the one !! https://t.co/CIJ81jx7Hi,2020-12-16 07:51:18,solzumiraa,Twitter for iPhone,1339115873743855616,https://twitter.com/statuses/1339115873743855616
fr that shit is 😩🥵 i luv it https://t.co/WaVL6QsbAr,2020-12-16 07:51:18,rave_babyy,Twitter for iPhone,1339115873735299072,https://twitter.com/statuses/1339115873735299072
"@proyecturdiales Cinco

2001 IS OUT NOW",2020-12-16 07:51:18,multy_inspo,Twitter for iPhone,1339115873718726656,https://twitter.com/statuses/1339115873718726656
Red Velvet - Bad Boy (Acoustic ver) [Yeri's Music Gift #5] https://t.co/CEAPu9VY4W via @YouTube,2020-12-16 07:51:18,alwaysyourbread,Twitter for iPad,1339115873718562816,https://twitter.com/statuses/1339115873718562816
I can become more intuitive and treacherous. I am changing more and more obnoxiously.,2020-12-16 07:51:18,LitPostingBot5k,Litbot 5100,1339115873714532352,https://twitter.com/statuses/1339115873714532352
we need a dance practice of this https://t.co/i2lZLECnHv,2020-12-16 07:51:18,jamaiskyu,Twitter for iPhone,1339115873705988097,https://twitter.com/statuses/1339115873705988097
"ningguang constellation when???!""(""(+$(",2020-12-16 07:51:18,marisorusoro,Twitter for Android,1339115873693417473,https://twitter.com/statuses/1339115873693417473
@Sliimy_Tez Thank you ♥️,2020-12-16 07:51:18,__Kamza,Twitter for Android,1339115873676779522,https://twitter.com/statuses/1339115873676779522
@GoMonateee It's about to be my time to shine 😭😭😭😭🤞🏽🤞🏽🤞🏽 https://t.co/KH9AM0Innu,2020-12-16 07:51:18,dinthotsohle,Twitter for Android,1339115873676759041,https://twitter.com/statuses/1339115873676759041
odading https://t.co/sm20Bf7uYk,2020-12-16 07:51:18,cereaml,Twitter for Android,1339115873651474437,https://twitter.com/statuses/1339115873651474437
@Lily_is_reading Halloween outfit sorted 😂,2020-12-16 07:51:18,jakeisreading,Twitter for iPhone,1339115873638952960,https://twitter.com/statuses/1339115873638952960
@isabelgv_ LMAO MY GOD,2020-12-16 07:51:18,LuLuciago,Twitter for iPhone,1339115873626370049,https://twitter.com/statuses/1339115873626370049
@aussiesdointhgs This is Riggins. Biggest sweetheart with a wiggly bum around https://t.co/9DC3t7O5m8,2020-12-16 07:51:18,ashleyroyce,Twitter for iPhone,1339115873626279936,https://twitter.com/statuses/1339115873626279936
@S00KAIII Love is in the air,2020-12-16 07:51:18,WonwoosTeeth,Twitter for Android,1339115873613672448,https://twitter.com/statuses/1339115873613672448
@SandmanMGTOW Lol after all the advertising u did... Brave browser is led by wahmen prolly,2020-12-16 07:51:18,MartinOhly2,Twitter for iPhone,1339115873567711238,https://twitter.com/statuses/1339115873567711238
"@rnadxb Been a while since we had snow, I miss it",2020-12-16 07:51:18,kew5711,Twitter for Android,1339115873559261186,https://twitter.com/statuses/1339115873559261186
I got back to playing CoD last night. I don't think I did to badly since my reflexes are  old AF. And mainly because the LMG is great!,2020-12-16 07:51:18,Mizerygutz,Twitter Web App,1339115873534169091,https://twitter.com/statuses/1339115873534169091
"@SocialistKiki The REASON that no one never noticed how bonkers it is, of course, is because Psychic Terrain makes it worthless. But Psychic Terrain has basically never been less common",2020-12-16 07:51:18,Anya_Timeline,Twitter for Android,1339115873534050304,https://twitter.com/statuses/1339115873534050304
@VinnyVista_ If u do hmu please,2020-12-16 07:51:18,BasedDrWorm,Twitter for iPhone,1339115873496346627,https://twitter.com/statuses/1339115873496346627
@ENHYPEN_members Wassup bby how ya doing,2020-12-16 07:51:18,donggeonkiss,Twitter for Android,1339115873475313666,https://twitter.com/statuses/1339115873475313666
These people are all decked out for #Christmas! 😊❤️🎄 https://t.co/zD9bMp25x6,2020-12-16 07:51:18,DeidraLicata,Twitter for iPhone,1339115873462673409,https://twitter.com/statuses/1339115873462673409
"I finally figured out how to use the beautify feature on the app

Before and after 
Just look and be mesmerized by its beauty https://t.co/AqKjbRa3J1",2020-12-16 07:51:18,happyntharsh,Twitter for Android,1339115873458524160,https://twitter.com/statuses/1339115873458524160
@Official_yhiz have you seen agbalumo in your neighborhood?,2020-12-16 07:51:18,Tweet_Scoopp,Twitter for iPhone,1339115873454485505,https://twitter.com/statuses/1339115873454485505
Beef broccoli kineso https://t.co/4mejaqFX0J,2020-12-16 07:51:18,kringbot,Twitter for iPhone,1339115873450147841,https://twitter.com/statuses/1339115873450147841
should have just expropriated it. fuck these slumlords https://t.co/ownSJSw264,2020-12-16 07:51:18,JimStorrie,Twitter Web App,1339115873441775617,https://twitter.com/statuses/1339115873441775617
when did they put a thin line between love n hate on netflixx 😬,2020-12-16 07:51:18,biggp_,Twitter for Android,1339115873437691906,https://twitter.com/statuses/1339115873437691906
SOMEONE ON HP CALL CALLED ME 12 🙄🙏,2020-12-16 07:51:18,ahsgregg,Twitter for iPhone,1339115873433309191,https://twitter.com/statuses/1339115873433309191
"Aha! I think that would be a waste for me to not taking more pictures with this look! 👁 so, let me add more for you, MIDZYs! (And by dropping these, I hope y'all are happy!) https://t.co/TKcGTTALyf",2020-12-16 07:51:18,RYUZHlNE,Twitter for Android,1339115873412378624,https://twitter.com/statuses/1339115873412378624
being anti-social rps 🤒🤒🤒,2020-12-16 07:51:18,mo_onibyul,Twitter for Android,1339115873399795712,https://twitter.com/statuses/1339115873399795712
@Phuluso_ It’s going to take time for Chiefs to get that “luck” also but hopefully they maintain and build on the performance they had especially in the first half,2020-12-16 07:51:18,JustDaz_92,Twitter for iPhone,1339115873374777344,https://twitter.com/statuses/1339115873374777344
@WSJ Close all schools...Covid kills children.,2020-12-16 07:51:18,Toilenator,Twitter Web App,1339115873370595328,https://twitter.com/statuses/1339115873370595328
Really enjoyed that - felt I was in the market watching as it was so vivid! Thank you https://t.co/PCRiY4FerH,2020-12-16 07:51:18,LucyEvans15,Twitter for iPad,1339115873362173953,https://twitter.com/statuses/1339115873362173953
@THANVXX he ᵐᵉᵒʷˢ,2020-12-16 07:51:18,TEARHWNG,Twitter Web App,1339115873357996034,https://twitter.com/statuses/1339115873357996034
@emilymcminn_ms Good morning Emily. 💜,2020-12-16 07:51:18,ellen_thoma,Twitter for Android,1339115873328648193,https://twitter.com/statuses/1339115873328648193
@heycarobell Yeah,2020-12-16 07:51:18,Alejand73966922,Twitter for Android,1339115873324318728,https://twitter.com/statuses/1339115873324318728
@infinityloey it’s okay it’s totally fine!💃🏻,2020-12-16 07:51:18,_loeyou,Twitter for iPhone,1339115873315909633,https://twitter.com/statuses/1339115873315909633
@mariam_yosi You're mixing things up.,2020-12-16 07:51:18,thatboyobito,Twitter for Android,1339115873307684869,https://twitter.com/statuses/1339115873307684869
how do i tell my dog to stop snoring,2020-12-16 07:51:18,caley_starkes,Twitter for iPhone,1339115873307602944,https://twitter.com/statuses/1339115873307602944
@AJ1T_ yes... and no!,2020-12-16 07:51:18,bearnerdg,Twitter Web App,1339115873307484160,https://twitter.com/statuses/1339115873307484160
@italiasovrana NEVER CONCEDE UNDER FRAUDULENT HOAX RIGGED #ELECTION2020. TRUMP WON A LOT IN ALL 50 USA STATES BY REAL LEGAL VOTES.,2020-12-16 07:51:18,NikeSkywalker,Twitter for Android,1339115873295081474,https://twitter.com/statuses/1339115873295081474
"@go4biz101 Hello, you might want to try https://t.co/ENwOJsgL68 a powerful and robust social media management tool to handle all your social media accounts across major platforms. Try it and you will surely like it. They offer a free trial on the link below.
https://t.co/rjtYUukxld",2020-12-16 07:51:18,Mikaelovich,Twitter Web App,1339115873278181376,https://twitter.com/statuses/1339115873278181376
This is an important read ⬇️ https://t.co/0hgrgi3Ywq,2020-12-16 07:51:18,BeckyOrlinski,Twitter for Android,1339115873265659904,https://twitter.com/statuses/1339115873265659904
"@lygerastiaa //You talk like a cook.

More seriously yes I see where you're going. Maybe try to use differents words to say the same thing ? I don't have the right word in English but... I think you can see my point.",2020-12-16 07:51:18,Kioku_Kamui,Twitter for Android,1339115873248964610,https://twitter.com/statuses/1339115873248964610
this your man🤔 @illumixzold https://t.co/OapaUJOnnl,2020-12-16 07:51:18,chuutoka,Twitter for iPhone,1339115873240399873,https://twitter.com/statuses/1339115873240399873
"994A6F11 :Battle ID
I need backup!
Lvl 120 Metatron
https://t.co/FXG3q9kKIb",2020-12-16 07:51:18,Xarp19,グランブルー ファンタジー,1339115873206902785,https://twitter.com/statuses/1339115873206902785
"Come join my Squad, Let us face off against the world's best MOBA players together!
https://t.co/OtnGltaU3y https://t.co/2qWFLTyabZ",2020-12-16 07:51:18,ChenQingYuan,Twitter for Android,1339115873198432256,https://twitter.com/statuses/1339115873198432256
@TdashERA SCREAMINGGGGG 😭😂 ain’t so funny nomoe,2020-12-16 07:51:18,trulypocahontas,Twitter for iPhone,1339115873148280833,https://twitter.com/statuses/1339115873148280833
Why all these cops pull up to my taco spot,2020-12-16 07:51:18,NiiYouth,Twitter for iPhone,1339115873144016896,https://twitter.com/statuses/1339115873144016896
lets see whether  it protect the right of citizen or behave like agent of fascist govt. https://t.co/jChWAXHiq4,2020-12-16 07:51:18,atulgupta2060,Twitter Web App,1339115873127202817,https://twitter.com/statuses/1339115873127202817
@shyuk_kiyowo AMINNNN,2020-12-16 07:51:18,H00NSJ1N,Twitter for iPhone,1339115873102008320,https://twitter.com/statuses/1339115873102008320
Yh I'd be the last born 💃💃 https://t.co/nRtm4oadYL,2020-12-16 07:51:18,LilPret99990176,Twitter for Android,1339115873081102339,https://twitter.com/statuses/1339115873081102339
"A few causes of hypertension:
1. alcohol abuse
2. lack of physical activity 
3. arguing evolution with religious people.",2020-12-16 07:51:18,bunmi_grey,Twitter for Android,1339115873047617541,https://twitter.com/statuses/1339115873047617541
"SC issues notice on pleas to open Delhi’s borders blocked by petitioners, allows farmer organisations to be added  hearing tomorrow

https://t.co/XtyBZKr4sR https://t.co/IOoLFtcatQ",2020-12-16 07:51:18,htTweets,TweetDeck,1339115873043243008,https://twitter.com/statuses/1339115873043243008
This cast is star-studded https://t.co/DR3wfx88fm,2020-12-16 07:51:18,tensaikendo,Twitter for iPhone,1339115872997269505,https://twitter.com/statuses/1339115872997269505
"Well she said my bag was so cute and I said it was from yugioh and she said ""I know :D"" 0___o",2020-12-16 07:51:18,processlayer,Twitter for Android,1339115872930078721,https://twitter.com/statuses/1339115872930078721
This is beautiful! Proud to work for United. @weareunited https://t.co/BTZD72bvoG,2020-12-16 07:51:18,_Richard_Lyu,Twitter for iPhone,1339115872930041856,https://twitter.com/statuses/1339115872930041856
Real facts. Because the pastor said to her this was not about Candice https://t.co/MCb2Faj9sE,2020-12-16 07:51:18,w1176715,Twitter for Android,1339115872925921285,https://twitter.com/statuses/1339115872925921285
@itzlunaAaa omg same 🤛🏻,2020-12-16 07:51:18,wondermaui,Twitter for Android,1339115872900636672,https://twitter.com/statuses/1339115872900636672
@TheCondomFish condom fish you mind if U take you out of the cnodom i need to use it for somethin,2020-12-16 07:51:18,nicklikedis,Twitter Web App,1339115872888229888,https://twitter.com/statuses/1339115872888229888
I always wake up in the middle of the night,2020-12-16 07:51:18,Quiishaaa,Twitter for iPhone,1339115872858857472,https://twitter.com/statuses/1339115872858857472
@M0TIVESS Would you use mm/mw?,2020-12-16 07:51:18,Cxffee_x,Twitter for iPhone,1339115872841940993,https://twitter.com/statuses/1339115872841940993
I'm so tired I practically creak through my dance steps (Closer),2020-12-16 07:51:18,DennisCooperTXT,"Cheap Bots, Done Quick!",1339115872833708033,https://twitter.com/statuses/1339115872833708033
@JasonSt88387215 Thank you for following have a nice day 🔝🔜😎📊📈,2020-12-16 07:51:18,ACannercookies,Twitter for Android,1339115872821108738,https://twitter.com/statuses/1339115872821108738
@REALIFERUBY The best time,2020-12-16 07:51:18,HircinesWolf,Twitter for iPhone,1339115872808472576,https://twitter.com/statuses/1339115872808472576
@tlldrknhndsm_ You want me to die huh😭,2020-12-16 07:51:18,QuintenLockhar1,Twitter for iPhone,1339115872804343808,https://twitter.com/statuses/1339115872804343808
